Game_id,Game_name,Developer,Publisher,Release Date,Price,Metacritic Score,Headsets,Input,Play Area,Genre,Support Language
355860,Albino Lullaby: Episode 1,Ape Law,Ape Law,"15 Sep, 2015","¥ 1,010",,;valveindex;htc;oculus,;controller;vr_input_kbm,;seated,;Action;Adventure;Indie,;English
1777600,Paranormal Hunter,EALoGAMES,EALoGAMES,coming soon,,,;oculus,;vr_input_motion,;seated;standing,;Action;Casual;Indie;Early Access,;English;Japanese;French;German;Spanish - Latin America;Portuguese;Russian;Simplified Chinese
1814600,Drone Showcase,ProfessionalAssets,ProfessionalAssets,"14 Dec, 2021",Free,,;htc,;vr_input_motion,;standing;roomscale,;Action;Adventure;Free to Play;Indie;Racing;Simulation;Strategy,;English
1563320,Sleep Tight,Bearfoxbear,Bearfoxbear,"24 Mar, 2021","¥ 1,010",,;valveindex;htc;oculus,;vr_input_motion,;seated;roomscale,;Action;Casual;Indie;Strategy,;English;Russian;Simplified Chinese
251810,Leadwerks Game Engine,Leadwerks Software,Leadwerks Software,"6 Jan, 2014","¥ 5,150",,;valveindex;htc;oculus,;vr_input_motion;vr_input_kbm,;seated;standing;roomscale,;Animation & Modeling;Design & Illustration;Education;Software Training;Utilities,;English
503150,Frantic Freighter,Phr00t's Software,Phr00t's Software,"29 Aug, 2016",¥ 298,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Casual;Indie;Simulation,;English
1966870,Cyber Car,Cyber Car Industries,Cyber Car Industries,"12 May, 2022",Free To Play,,;valveindex;htc;oculus;windowsmr,;vr_input_motion;controller;vr_input_kbm,;seated,;Free to Play;Simulation,;English
1909230,VRUSEUM,SecondaryBounce,SecondaryBounce,"11 Mar, 2022",Free,,;oculus,;vr_input_motion;vr_input_kbm,;seated;standing,;Adventure;Casual;Free to Play;Indie;Simulation,;English
450740,Mind Unleashed,Frost Earth Studio,IV Productions,"5 May, 2016",¥ 298,,;valveindex;htc;oculus,;controller;vr_input_kbm,;seated,;Action;Indie,;English
1860120,Fractal Fly,Tectrid,Tectrid,"10 Feb, 2022",Free To Play,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing,;Adventure;Casual;Free to Play,;English
335210,Rift's Cave,Volens Nolens Games,Volens Nolens Games,"9 Sep, 2021",,,;oculus,,;standing,;Adventure;Indie,;English
744600,Balloonatics,BitCutter Studios Inc.,BitCutter Studios Inc.,"13 Feb, 2018","¥ 1,010",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Action;Indie;Simulation;Strategy;Early Access,;English
676760,Noise,Talentplace,KishMish Games,"13 Oct, 2019",¥ 298,,;valveindex;htc;oculus,;controller;vr_input_kbm,;seated,;Adventure;Indie,;English;Russian
620280,Freefall,Shockk,Shockk,"1 Jun, 2017",¥ 498,,;valveindex;htc;oculus,;vr_input_motion;vr_input_kbm,;seated;standing,;Action;Casual;Indie;Early Access,;English
858860,Tabletop Gods,Ghost Fish Games,Other Ocean Group,"16 May, 2019","¥ 2,050",,;htc;oculus;windowsmr,;vr_input_motion;vr_input_kbm,;seated;standing;roomscale,;Action;Indie;Strategy,;English;Italian;French;German;Korean;Simplified Chinese;Spanish - Latin America;Spanish - Spain
346460,Vector 36,Red River Studio,Red River Studio,"25 Jan, 2017","¥ 2,050",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated,;Action;Indie;Racing;Simulation,;English;Simplified Chinese
1075080,Falcon Age,Outerloop Games,Outerloop Games,"8 Oct, 2020","¥ 2,050",,;valveindex;htc;oculus;windowsmr,;vr_input_motion;controller,;seated;standing;roomscale,;Action;Adventure;Casual;Indie;Simulation,;English;French;German;Spanish - Spain
313630,The Solus Project,Hourences,Teotl Studios,"7 Jun, 2016","¥ 1,980",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing;roomscale,;Adventure;Indie;Simulation,;English;Danish;Swedish;French;German;Spanish - Spain;Russian;Italian;Polish;Czech
1026760,DepthQVR_AQUA,"Lightspeed Design, Inc.","Lightspeed Design, Inc.","8 Oct, 2020",Free,,;valveindex;htc;oculus;windowsmr,;vr_input_motion;vr_input_kbm,;seated;standing,;Casual;Free to Play;Early Access,;English
393750,P·O·L·L·E·N,Mindfield Games,Mindfield Games,"19 Apr, 2016",¥ 980,,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing;roomscale,;Adventure;Indie,;English;French;Italian;German;Spanish - Spain;Russian;Finnish;Portuguese
738600,Odyssey: The Deep Space Expedition,TouchDown Creations,TouchDown Creations,"18 Jan, 2019",¥ 520,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Indie;Simulation,;English
386690,Fantastic Contraption,Northway Games,Northway Games,"5 Apr, 2016","¥ 2,050",,;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Indie;Simulation;Strategy,;English;Japanese;Simplified Chinese;French;Italian;German;Spanish - Spain;Arabic;Danish;Dutch;Finnish;Korean;Norwegian;Polish;Portuguese;Portuguese - Brazil;Russian;Swedish;Traditional Chinese;Turkish
963400,SCP: Blackout,Mahelyk,None,"9 Aug, 2019","¥ 2,050",,;valveindex;htc;oculus,;vr_input_motion;vr_input_kbm,;seated;standing,;Indie;Early Access,;English
1593280,8089: The Next Action RPG,Phr00t's Software,Phr00t's Software,"5 Nov, 2021","¥ 1,010",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Action;Indie;RPG,;English
1070840,Quest Together,Studio Stefferp,Studio Stefferp,,,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,;English
888540,Project 59,Red Oak Studio,Red Oak Studio,"19 Jul, 2018",¥ 520,,;valveindex;htc,;vr_input_motion,;seated;standing,;Action;Adventure;Indie,;English
1424930,DMM Connect Chat,DMM VR lab,DMM.com LLC,"14 Mar, 2022",Free To Play,,;valveindex;htc;oculus,;vr_input_motion;vr_input_kbm,;seated;standing,;Casual;Free to Play;Massively Multiplayer,;English;Japanese
332490,Battle Fleet 2,Mythical City Games,Mythical City Games,"20 Nov, 2014","¥ 1,520",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Simulation;Strategy,;English;French;German;Polish;Russian
446550,Infinite Minigolf,Zen Studios,Zen Studios,"25 Jul, 2017","¥ 1,480",,;valveindex;htc;oculus,;controller,;seated;standing,;Casual;Indie;Sports,;English;Hungarian;French;Italian;German;Spanish - Spain;Russian
583530,Aquila Bird Flight Simulator,Graeme Scott,Graeme Scott,"27 Dec, 2020",Install the Demo,,;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,;Casual;Simulation,;English
808880,MiniTracks,MetaCryptoGames,MetaCryptoGames,"13 Nov, 2020",¥ 520,,;valveindex;htc;oculus;windowsmr,;controller;vr_input_kbm,;seated;standing;roomscale,;Casual;Indie;Racing,;English
985950,Operencia: The Stolen Sun,Zen Studios,Zen Studios,"31 Mar, 2020","¥ 3,090",76,;valveindex;htc;oculus,;vr_input_motion;controller,;seated;standing,;Action;Adventure;Indie;RPG,;English;French;Italian;German;Spanish - Spain;Hungarian;Japanese;Polish;Russian;Turkish
